date,messages,stickers,photos,videos,video memos
2025-01-01,460,27,26,8,1
2025-01-02,119,4,11,1,0
2025-01-03,192,5,20,7,0
2025-01-04,322,12,26,14,0
2025-01-05,150,4,11,9,0
2025-01-06,381,15,25,11,0
2025-01-07,249,6,19,8,0
2025-01-08,683,28,40,9,1
2025-01-09,407,14,32,9,0
2025-01-10,479,13,27,10,0
2025-01-11,488,19,47,7,0
2025-01-12,757,19,32,8,1
2025-01-13,376,13,17,8,0
2025-01-14,538,8,31,15,0
2025-01-15,424,22,34,9,0
2025-01-16,368,16,35,14,0
2025-01-17,390,18,29,23,0
2025-01-18,318,19,40,8,2
2025-01-19,430,13,15,12,2
2025-01-20,211,10,31,10,0
2025-01-21,328,8,47,1,0
2025-01-22,294,6,25,5,0
2025-01-23,228,6,16,9,0
2025-01-24,268,9,18,7,1
2025-01-25,185,6,34,2,0
2025-01-26,325,8,22,12,1
2025-01-27,259,17,23,9,0
2025-01-28,446,9,11,4,0
2025-01-29,417,25,24,7,0
2025-01-30,313,25,21,7,0
2025-01-31,138,2,19,5,0
2025-02-01,290,11,27,5,0
2025-02-02,183,4,17,4,0
2025-02-03,211,5,31,8,0
2025-02-04,373,24,31,7,1
2025-02-05,267,18,20,7,1
2025-02-06,192,13,25,7,0
2025-02-07,212,10,14,5,0
2025-02-08,263,15,17,7,0
2025-02-09,484,11,28,15,1
2025-02-10,547,11,36,4,0
2025-02-11,198,5,22,6,0
2025-02-12,358,15,30,12,0
2025-02-13,414,12,23,7,0
2025-02-14,212,9,23,7,0
2025-02-15,318,5,53,8,0
2025-02-16,113,3,21,6,0
2025-02-17,60,2,4,0,0
2025-02-18,26,0,1,1,0
2025-02-19,69,3,8,1,0
2025-02-20,29,1,5,1,0
2025-02-21,73,1,11,1,0
2025-02-22,115,5,15,3,0
2025-02-23,21,0,5,1,0
2025-02-24,104,9,15,4,0
2025-02-25,325,8,29,4,0
2025-02-26,516,17,32,8,0
2025-02-27,484,14,42,4,0
2025-02-28,427,7,11,7,0
2025-03-01,395,15,23,11,0
2025-03-02,275,5,28,8,1
2025-03-03,438,9,43,14,0
2025-03-04,285,6,47,5,0
2025-03-05,361,4,27,5,0
2025-03-06,297,8,28,5,0
2025-03-07,311,6,28,11,0
2025-03-08,469,16,32,12,0
2025-03-09,177,8,24,7,0
2025-03-10,480,13,30,7,0
2025-03-11,443,7,40,5,0
2025-03-12,283,4,28,3,0
2025-03-13,490,21,40,8,0
2025-03-14,373,7,61,11,1
2025-03-15,231,11,34,13,0
2025-03-16,349,10,20,6,0
2025-03-17,321,6,26,8,0
2025-03-18,198,5,27,5,0
2025-03-19,530,7,51,5,1
2025-03-20,765,14,27,11,0
2025-03-21,188,6,32,8,0
2025-03-22,294,8,23,12,0
2025-03-23,239,5,14,1,0
2025-03-24,154,5,20,7,0
2025-03-25,359,10,33,6,2
2025-03-26,152,4,7,5,0
2025-03-27,252,4,34,16,0
2025-03-28,151,2,21,5,1
2025-03-29,757,5,95,17,7
2025-03-30,377,5,46,8,0
2025-03-31,300,6,36,5,0
2025-04-01,252,19,19,8,0
2025-04-02,1135,25,50,10,0
2025-04-03,575,13,38,4,0
2025-04-04,1230,50,69,16,4
2025-04-05,317,1,27,9,0
2025-04-06,362,8,25,11,0
2025-04-07,69,3,14,4,0
2025-04-08,234,5,26,10,2
2025-04-09,616,20,38,9,0
2025-04-10,266,3,22,9,1
2025-04-11,275,14,21,6,1
2025-04-12,495,15,72,9,11
2025-04-13,190,3,25,6,0
2025-04-14,176,5,14,2,0
2025-04-15,177,7,18,8,0
2025-04-16,138,2,20,6,0
2025-04-17,67,3,15,3,0
2025-04-18,187,6,21,4,0
2025-04-19,240,2,30,19,0
2025-04-20,264,3,40,13,2
2025-04-21,274,6,48,13,0
2025-04-22,275,8,33,9,0
2025-04-23,96,3,27,3,0
2025-04-24,431,5,46,6,0
2025-04-25,587,23,56,17,3
2025-04-26,319,3,25,12,2
2025-04-27,355,13,22,7,0
2025-04-28,145,7,15,14,0
2025-04-29,333,5,20,4,0
2025-04-30,222,4,23,11,0
2025-05-01,106,3,13,7,2
2025-05-02,180,8,20,8,0
2025-05-03,248,4,17,9,0
2025-05-04,231,3,37,6,0
2025-05-05,202,2,21,6,1
2025-05-06,255,5,20,10,0
2025-05-07,279,10,27,6,0
2025-05-08,196,5,20,2,0
2025-05-09,135,4,15,15,0
2025-05-10,133,7,23,5,0
2025-05-11,133,2,14,7,0
2025-05-12,144,6,17,2,0
2025-05-13,754,10,33,7,1
2025-05-14,359,9,21,9,0
2025-05-15,276,3,27,10,0
2025-05-16,167,4,19,8,0
2025-05-17,237,5,28,10,0
2025-05-18,785,15,21,6,2
2025-05-19,168,2,13,5,0
2025-05-20,279,4,37,1,0
2025-05-21,219,7,32,5,0
2025-05-22,279,8,23,9,1
2025-05-23,297,15,28,11,0
2025-05-24,117,1,11,9,1
2025-05-25,141,8,28,2,1
2025-05-26,338,9,16,6,0
2025-05-27,204,5,20,7,0
2025-05-28,756,19,30,4,0
2025-05-29,151,9,21,1,0
2025-05-30,113,3,20,3,2
2025-05-31,177,7,20,7,0
2025-06-01,241,7,18,0,1
2025-06-02,163,8,19,9,0
2025-06-03,349,11,33,5,2
2025-06-04,421,6,20,8,1
2025-06-05,274,7,32,4,0
2025-06-06,230,4,29,4,2
2025-06-07,198,1,26,0,2
2025-06-08,298,16,29,9,0
2025-06-09,298,9,27,9,0
2025-06-10,335,19,16,5,0
2025-06-11,406,21,19,9,0
2025-06-12,545,6,29,7,1
2025-06-13,434,15,22,13,1
2025-06-14,249,8,18,8,0
2025-06-15,637,12,34,15,0
2025-06-16,417,6,18,5,0
2025-06-17,134,2,17,4,1
2025-06-18,266,8,34,8,0
2025-06-19,227,4,35,11,0
2025-06-20,94,5,6,6,0
2025-06-21,140,2,22,3,0
2025-06-22,310,5,13,7,4
2025-06-23,89,1,7,6,0
2025-06-24,74,2,9,2,1
2025-06-25,188,9,22,4,0
2025-06-26,128,7,16,0,0
2025-06-27,141,5,13,4,0
2025-06-28,144,4,17,2,0
2025-06-29,440,16,28,16,0
2025-06-30,157,3,17,4,0
2025-07-01,202,5,27,3,0
2025-07-02,321,12,32,2,0
2025-07-03,284,12,22,4,0
2025-07-04,316,10,26,5,0
2025-07-05,298,5,25,8,0
2025-07-06,156,2,12,5,0
2025-07-07,124,7,12,3,0
2025-07-08,206,5,15,1,0
2025-07-09,193,2,15,3,0
2025-07-10,213,9,20,0,0
2025-07-11,142,4,13,5,0
2025-07-12,114,2,21,6,0
2025-07-13,269,3,23,5,0
2025-07-14,221,8,29,4,0
2025-07-15,257,4,24,9,0
2025-07-16,352,6,32,6,0
2025-07-17,262,7,20,8,0
2025-07-18,426,10,29,5,0
2025-07-19,205,7,24,1,0
2025-07-20,211,4,64,2,1
2025-07-21,451,7,39,6,0
2025-07-22,208,3,11,13,0
2025-07-23,310,4,17,2,0
2025-07-24,97,6,8,5,0
2025-07-25,160,0,14,2,0
2025-07-26,259,3,21,8,0
2025-07-27,72,1,17,7,0
2025-07-28,91,4,11,1,0
2025-07-29,140,5,28,3,0
2025-07-30,120,5,20,4,0
2025-07-31,156,6,10,1,0
2025-08-01,147,8,9,5,0
2025-08-02,153,4,14,2,0
2025-08-03,177,11,12,3,0
2025-08-04,54,3,4,4,0
2025-08-05,7,0,1,0,0
2025-08-06,58,4,11,5,0
2025-08-07,38,0,11,1,1
2025-08-08,30,3,6,2,0
2025-08-09,46,5,9,0,0
2025-08-10,74,0,11,1,0
2025-08-11,81,1,6,4,1
2025-08-12,203,3,27,1,0
2025-08-13,123,3,22,8,0
2025-08-14,381,11,13,7,0
2025-08-15,221,4,38,2,0
2025-08-16,99,6,12,5,0
2025-08-17,141,6,13,5,0
2025-08-18,121,5,14,2,0
2025-08-19,157,2,14,4,0
2025-08-20,121,1,19,4,0
2025-08-21,320,9,32,5,0
2025-08-22,182,4,26,8,0
2025-08-23,200,5,34,4,0
2025-08-24,96,2,8,8,0
2025-08-25,261,5,8,2,1
2025-08-26,288,7,26,4,0
2025-08-27,511,13,31,8,1
2025-08-28,352,11,40,3,0
2025-08-29,286,6,25,5,2
2025-08-30,222,10,33,19,0
2025-08-31,169,5,13,2,0
2025-09-01,114,5,18,3,0
2025-09-02,142,2,19,5,0
2025-09-03,139,2,17,3,0
2025-09-04,139,3,19,6,0
2025-09-05,109,4,15,7,0
2025-09-06,107,1,13,9,0
2025-09-07,281,6,9,3,0
2025-09-08,113,0,8,3,0
2025-09-09,116,4,9,3,0
2025-09-10,399,8,27,3,0
2025-09-11,377,10,23,17,0
2025-09-12,202,2,14,4,0
2025-09-13,183,6,13,2,0
2025-09-14,106,0,12,2,0
2025-09-15,149,7,13,3,0
2025-09-16,171,7,19,3,0
2025-09-17,182,3,9,9,0
2025-09-18,186,4,15,6,0
2025-09-19,40,2,6,4,0
2025-09-20,22,0,3,3,0
2025-09-21,87,2,8,2,0
2025-09-22,724,9,13,6,0
2025-09-23,379,15,25,4,0
2025-09-24,132,7,15,6,0
2025-09-25,383,11,27,4,0
2025-09-26,330,11,32,8,0
2025-09-27,127,8,12,0,1
2025-09-28,292,9,15,3,0
2025-09-29,98,1,11,5,0
2025-09-30,221,5,21,5,0
2025-10-01,582,10,35,8,1
2025-10-02,206,2,20,11,0
2025-10-03,153,8,13,6,0
2025-10-04,182,5,24,4,0
2025-10-05,56,2,4,1,0
2025-10-06,520,20,41,5,0
2025-10-07,255,6,19,6,0
2025-10-08,334,7,32,5,0
2025-10-09,231,9,28,2,0
2025-10-10,321,8,27,1,0
2025-10-11,165,4,38,1,0
2025-10-12,232,2,18,3,0
2025-10-13,280,10,28,3,1
2025-10-14,110,5,18,7,0
2025-10-15,202,3,25,6,1
2025-10-16,192,4,14,3,0
2025-10-17,323,5,18,4,0
2025-10-18,171,2,18,3,0
2025-10-19,45,0,6,5,0
2025-10-20,232,5,9,3,0
2025-10-21,160,4,14,2,0
2025-10-22,266,3,30,3,0
2025-10-23,99,3,6,3,0
2025-10-24,304,4,16,6,0
2025-10-25,208,5,12,5,0
2025-10-26,100,4,18,2,0
2025-10-27,229,6,26,2,0
2025-10-28,221,8,13,3,1
2025-10-29,438,11,39,3,0
2025-10-30,332,9,48,2,0
2025-10-31,107,2,12,1,0
2025-11-01,75,0,15,1,0
2025-11-02,164,6,17,3,0
2025-11-03,266,8,24,4,0
2025-11-04,177,3,28,6,0
2025-11-05,319,8,19,2,0
2025-11-06,261,4,15,2,0
2025-11-07,173,1,10,3,0
2025-11-08,324,8,27,4,0
2025-11-09,81,5,12,2,0
2025-11-10,46,3,4,1,0
2025-11-11,172,8,14,2,1
2025-11-12,75,0,9,2,0
2025-11-13,102,4,18,1,0
2025-11-14,118,2,11,4,0
2025-11-15,125,2,14,4,0
2025-11-16,169,3,9,1,0
2025-11-17,343,14,29,3,0
2025-11-18,53,2,7,0,0
2025-11-19,50,3,9,3,0
2025-11-20,251,6,20,1,0
2025-11-21,359,1,44,2,0
2025-11-22,196,9,38,4,0
2025-11-23,128,4,20,1,0
2025-11-24,85,3,12,1,0
2025-11-25,91,4,9,1,0
2025-11-26,229,0,22,1,0
2025-11-27,76,3,9,4,0
2025-11-28,119,7,9,2,0
2025-11-29,101,3,13,3,0
2025-11-30,284,6,27,0,0
2025-12-01,137,2,11,2,0
2025-12-02,136,3,16,2,0
2025-12-03,437,3,89,2,0
2025-12-04,286,7,27,1,1
2025-12-05,189,2,23,2,0
2025-12-06,126,3,10,5,0
2025-12-07,87,1,8,3,1
2025-12-08,206,5,21,2,0
2025-12-09,70,3,8,1,0
2025-12-10,110,9,13,1,0
2025-12-11,86,0,16,2,0
2025-12-12,97,8,11,3,0
2025-12-13,184,1,12,1,0
2025-12-14,177,2,26,7,1
2025-12-15,333,9,19,2,2
2025-12-16,68,2,6,2,1
2025-12-17,61,1,6,6,1
2025-12-18,117,2,23,0,0
2025-12-19,172,3,18,1,0
2025-12-20,147,4,18,8,0
2025-12-21,60,0,6,7,1
2025-12-22,220,6,21,5,0
2025-12-23,83,1,11,2,1
2025-12-24,107,3,12,4,0
2025-12-25,113,0,15,5,1
2025-12-26,117,2,15,2,0
2025-12-27,124,3,9,2,1
2025-12-28,79,2,4,1,0
2025-12-29,38,5,6,4,0
2025-12-30,40,0,6,1,0
2025-12-31,125,3,27,3,3
